ID,Country,Year,Outbreak,Region,S1,S2,S3,S4,,Status,Area_affected,Context,Context2,Detection_mode,Alert,Alert_bin,Detection_detail,Delay_symp_pres,Delay_symp_det,Delay_pres_det,Delay_symp_inv,Delay_pres_inv,Delay_symp_resp,Delay_pres_resp,Delay_symp_conf,Date_onset,Date_clinic,Date_labsignal,Date_detected,Detect_detail,Date_onset_eff,Date_pres_eff,Date_decl,Date_conf,Date_inv,Date_resp,Resp_detail,
11,Burundi,2017,"Burundi, 2017",AFRO,"WHO Burundi Cholera Update, 21 Aug 2017","WHO Burundi Cholera Update, 21 Aug 2017",,,,New,"DS Nyanza-Lac, Makemba Province",Rural,Fragile situation,Formal alert,Alert,1,"The outbreak began on 14 August when the index case, a 35-year-old fisherman, presented to Mvugo Health Centre with AWD, vomiting and severe dehydration [signal]. The case-patient was immediately referred to Nyanza-Lac Hospital, where he was isolated and stool sample sent to NIPH and result back by 19 Aug [immediate recognition of signal by health centre and notification]. By Aug 25, 20 suspected cases, 4 deaths.",5,5,0,,,5,0,10,,8/14/2017,,8/14/2017,1_HF (exact date),8/9/2017,8/14/2017,8/20/2017,8/19/2017,,8/14/2017,CTC opened in hospital of Nyanza-Lac and community based activities.,
12,Burundi,2018,"Burundi, 2018",AFRO,"WHO SitRep, 30 Dec 2018","WHO BOE (W1, 2018)",,,,New,"Teba quarter, Rumonge village, Bururi Province",Urban,Fragile situation,Formal alert,Alert,1,"Three suspected cholera cases reported from a single health district within two days (22-23 Dec). By Dec 30, 78 cases and 1 death reported in the district.",0,0,0,3,3,6,6,3,12/22/2018,12/22/2018,12/25/2018,12/22/2018,1_HF_(date CTC opened = date of DOS of first case),12/22/2018,12/22/2018,12/28/2018,12/25/2018,12/25/2018,12/28/2018,CTC opened,
13,Cameroon,2016,"Cameroon, 2016",AFRO,"UNICEF CP (W18, 2016)",,,,,False alert,"Mora town, Mora and Maroua Districts",Urban,Fragile situation,Formal alert,Alert,1,"False alert carried out swiftly. Rumor of cholera cases on Apr 27. N=69, two cases admitted to district hospital, RDT+. Culture- and turned out to be food poisoning.",5,5,0,5,0,5,0,,,4/27/2016,,4/27/2016,2_community (exact date),4/22/2016,4/27/2016,NR,,4/27/2016,4/27/2016,"Determined to be food poisoning, but proactively did HH disinfection through Red Cross at time of RDT result (and awareness).",
14,Cameroon,2016,"Cameroon, 2016",AFRO,"UNICEF CP (W26, 2016)",,,,,False alert,"Newtown Airport AdS, Boko HD, Littoral Department",Urban,Fragile situation,Informal alert,Alert,1,Immediate notification of 5 diarrhea cases in children <5 including one death from a community leader to the regional disease control bureau. False alert.,5,5,0,5,0,,,,,5/31/2016,,5/31/2016,2_community (exact date),5/26/2016,5/31/2016,NR,,5/31/2016,,Rapid response and investigation and testing.,
15,Cameroon,2018,"Cameroon, 2018",AFRO,"WHO DON, 14 Jun 2018",,,,,New,"Guirviza HA, Doumo HA, Maya Oulo HZ, Cameroon",Rural,Fragile situation,Formal alert,Alert,1,"Cases in two different, closely linked health areas were admitted at the health center as suspected cholera and cultured the same day; 2 cases to Guirviza Health Center (19 May) and 1 case to Doumo health centre (21 May). Stool samples sent immediately indicates an formal alert to the public health system. No new cases reported as of 14 Jun (report). Linked to travel to Nigeria, where there is an ongoing outbreak. No local transmission was reported.",5,6,1,6,1,11,6,8,,5/18/2018,5/21/2018,5/19/2018,1_HF (date of admission and stool samples sent),5/13/2018,5/18/2018,NR,5/21/2018,5/19/2018,5/24/2018,Chlorination of water sites and cholera kits distributed on May 24. Active case search and community health workers to increase awareness.,
16,CAR,2011,"CAR, 2011",AFRO,"IFRC DREF, 13 Oct 2011","UNICEF press release, 2011",FETP report,,,New,"Central African villages along the banks of the Ubangui River some 80 kilometres to the south of the capital, Bangui (Sékia, Moté, Bokélo, Mondoli, Monza, Bokassi, Nzinga and Sedale villages)",Rural,Armed conflict,Informal alert,Alert,1,"Since week 37 of 2011 (middle of September 2011, 16 cases), cases of diarrhoea were registered in villages, located South-West of Bangui and reported from HFs (sept 21). On Sept 23, chief's son died; reported to MOH. Transmission spread to Bangui during next 4 weeks (week 42, 172 cases)",5,13,8,15,10,20,15,18,,9/15/2011,,9/23/2011,2_community (exact date),9/10/2011,9/15/2011,9/30/2011,9/28/2011,9/25/2011,9/30/2011,"Government declaration (20-Sept-2011), activitated standing committee for  surveillance, epidemic preparedness and response (IFRC); UNICEF quickly dispatched specialized water and sanitation, health, and communication teams as part of this emergency response and has provided cholera kits, which include vital supplies such as Oral Rehydration Salts, IV fluids and antibiotics, to treat 700 people (UNICEF)",
17,CAR,2016,"CAR, 2016",AFRO,"UNICEF CP (W30, 2016)","IFRC EPoA (cholera epidemic), 25 Aug 2016",,,,New,"Mourou-Fleuve village, Ndjoukou subprefecture of Kemoalong Oubangui River",Rural,Armed conflict,Formal alert,Alert,1,The first cases were detected and announced by RC volunteers along the river forming the border CAR-DRC. 36 cases reported Aug 5; 45 reported Aug 10. One case found in Bangui. Linked to travel from DRC.,5,5,0,5,0,14,9,19,,7/27/2016,,7/27/2016,1_CHW (exact date),7/22/2016,7/27/2016,8/10/2016,8/10/2016,7/27/2016,8/5/2016,NR,
18,Chad,2010,"Chad, 2010",AFRO,"ACF report, 2011",,,,,New,"Fianga DS, Mayo-Kebbi",Urban,Fragile situation,Not reported,,,"First cases of acute gastroenteritis were registered at week 25 in Fianga, Bassin Lac. Likely linked to funerals and trade between brder areas of Cameroon, Niger, and Nigeria.",5,5,0,,,79,74,,,,,6/26/2010,"4_NR (exact date, ""cases registered"")",6/21/2010,6/26/2010,,,,9/8/2010,Mobilization of medical and WASH actors dd not happen until week 36 (11 weeks of delay),
19,Chad,2017,"Chad, 2017",AFRO,Monnard 2018,"WHO sitrep, 9 Sept 2017","UNICEF CP (W32, 2017)","WHO OEB (W34, 2017)",,New,"Marrena village, DS Koukou, Sila Region, East Province",Rural,Fragile situation,Formal alert,Alert,1,"Two young girls presented (14 aug) and both died upon admission and other cases from Marena, a remote village, presented on 15 Aug [signal]. Investigation (15 aug) [immediate notification, no source identified] through Tiora health facility found 50 cases and 13 deaths in Marena, a remote village. By 23 Aug, 91 cases and 13 deaths were reported in Marena. Case presentation (14 aug), notification from health centre (15 aug), investigation by health centre (15 aug) and rapid response (16 aug) happened quickly in a remote and insecure area.",5,5,0,6,1,6,1,8,,8/14/2017,,8/14/2017,1_HF (exact date),8/9/2017,8/14/2017,8/15/2017,8/17/2017,8/15/2017,8/15/2017,"Isolation placed in health centre same day of detection. 16 aug: closed water points and community awareness, active case-funding, regional and national rapid response team obtained two samples from the index case and transported them to the National Laboratory in N’Djamena.",
20,Chad,2017,"Chad, 2017",AFRO,Monnard 2018,"WHO OEB (W34, 2017)",,,,New,"Dogdore Health Centre (receiving caess from remote villages), DS Koukou, Sila Region, East Province",Rural,Fragile situation,Formal alert,Alert,1,"Dogdoré Health Centre in Koukou District reported 11 suspected cholera cases including two deaths (case fatality rate 18.2%) from Dabanalaye and Hilé Hussein villages (near the border of Sudan) (22 aug). 139 cases and 11 deaths were reported in total in Dogdore (22 oct). Like Marena, rapid detection (20 aug) and response (25 aug by UNICEF and 26 aug by MSF).",5,5,0,5,0,11,6,,,8/20/2017,,8/20/2017,1_NR (exact date),8/15/2017,8/20/2017,NR,,8/20/2017,8/26/2017,MSF reprenant la gestion du CTU de Tioro puis en ouvrant celui de Dogdoré le 26.,
21,Chad,2017,"Chad, 2017",AFRO,Monnard 2018,,,,,New,"Angarana, DS Koukou, Sila Region, Eastern Province",Rural,Fragile situation,Formal alert,Alert,1,NR,5,5,0,,,10,5,,,9/4/2017,,9/4/2017,1_NR (exact date),8/30/2017,9/4/2017,NR,,,9/9/2017,MSF opened CTU,
22,Chad,2017,"Chad, 2017",AFRO,Monnard 2018,,,,,New,"d'AmTiman, DS d'AmTiman, Salamat Region, Eastern Province",Urban,Fragile situation,Not reported,Alert,1,NR,5,5,0,,,7,2,,,9/20/2017,,9/20/2017,1_NR (exact date),9/15/2017,9/20/2017,NR,,,9/22/2017,"MSF opened CTU; sensization, HH spraying, ACP, WASH supplies distributed by NGO",
23,Chad,2019,"Chad, 2019",AFRO,"WHO OEB (W30, 2019)",,,,,New,"Youe (Doue) health district, Mayo Kebbi, East Province",Rural,Fragile situation,Not reported,,,"Cluster, presentation and rapid progression. 12 July 2019, when the first two cases, an 11-year-old male and a 40-year-old female, presented at a local health facility with signs and symptoms of severe dehydration and vomiting. The next day, the third case, a 10-year-old boy, also from the same neighbourhood presented with similar signs and symptoms at the local health centre. In the following seven days, nine other cases presented at the local health centre with signs and symptoms typical of cholera. One patient, a 34-year-old woman, died.",5,5,0,,,10,5,10,,7/12/2019,,7/12/2019,"4_HF (exact date, cluster)",7/7/2019,7/12/2019,7/22/2019,7/17/2019,,7/17/2019,CTC etc,
24,Congo,2016,"Congo, 2016",AFRO,"UNICEF CP (W36, 2016)",,,,,New,"Assemblee camp, Mbanou Island, Talangai Health District",Urban,Fragile situation,Not reported,Alert,1,"6 cases of cholera-like diarrhea notified by Mbamou authorities (Sept 5-11) from a single camp among patients en route from DRC. By 19 Sept, no other cases reported.",6,6,0,7,1,7,1,,9/5/2016,9/11/2016,,9/11/2016,4_PHO (exact date),9/5/2016,9/11/2016,NR,,9/12/2016,9/12/2016,"Response plan activated and investigation carried out. Disinfected camp and health centre, water chlorination with community monilizers. ",
25,Congo,2018,"Congo, 2018",AFRO,"WHO OEB (W16, 2018)",,,,,New,Likouala Department,Rural,Fragile situation,Informal alert,Alert,1,"Event began on 18 March 2018 when two case-patients from Liranga village in Impfondo District presented to a local health facility with acute watery diarrhoea. Retroactive data review established that three cases of acute watery diarrhoea had been managed in the same health facility in the earlier days [assumed retrospective search established after signal of cases was made]. By 19 Apr, 46 suspected cases and two deaths.",5,5,0,19,14,19,14,21,,3/18/2018,,3/18/2018,1_HF (exact date),3/13/2018,3/18/2018,NR,4/3/2018,4/1/2018,4/1/2018,"Preliminary outbreak investigations were conducted from 1-3 April 2018. Active surveillance, case management, and coordination structures.",
26,Côte d'Ivoire,2014,"Côte d'Ivoire, 2014",AFRO,"UNICEF CP (W41, 2014)","UNPK update, 6 Jan 2014","UNICEF CP (W2, 2018)",,,New,Abidjan (Zimbabwe neighborhood),Urban,Fragile situation,Not reported,,,"8 Ghananian fisherman developed symptoms on boat while at sea, passed through Boulay island. Samples confirmed positive. 22 cases and 5 deaths reported between 5 and 22 oct. by 20 jan, extension to Abidjan coast, with 327 cases and 19 deaths.",5,5,0,,,6,1,,,,,10/5/2014,4_NR (exact date),9/30/2014,10/5/2014,NR,,,10/6/2014,"At case notification, health care, surveillance and case investigation, HH spraying, sensitization done in at-risk districts.",
27,DR Congo,2017,"DR Congo, 2017",AFRO,"Bompangue et al, 2020","WHO DON, 2 Mar 2018",,,,New,"Camp Luka, Binza Meteo, Limete and Kintambo Health Zones, Kinshasa",Urban,Fragile situation,Formal data analysis,Data analysis,0,"IDSR: In January 2018, following intensive rains and flooding events, case numbers increased from less than five to more than 100 weekly reported cases. By W45 (2018), 1712 suspected cases and 53 deaths were reported.",2,5,3,,,37,35,,,11/25/2017,,11/25/2017,"3_NR (exact date, via IDSR)",11/20/2017,11/22/2017,NR,,,12/27/2017,Cluster-grid response strategy,
28,Ethiopia,2015,"Ethiopia, 2015",AFRO,"WHO report, 12 Apr 2016","Tull et al, 2018","UNICEF SitRep 7, Nov-Dec 2015","MOH Epi Bulletin (2, 10, 7-13 Mar 2016)",,New,"Moyale town and surrounding kebeles, Moyale Oromia and Moyale-Somali",Urban,Refugee setting,Formal alert,,,Information on detection NR. First case reported on 6 nov and 465 suspected cases reported 17 mar 2016.,1,1,0,51,50,51,50,13,11/5/2015,,,11/6/2015,1_HF_EWARS (exact date; single case reported),11/5/2015,11/6/2015,4/7/2017,11/18/2015,12/26/2015,12/26/2015,"UNICEF supporting CTCs and training on prevention (Dec 6)WHO investigation to identify gaps in outbreak response (Dec 26); community sensitization campaign on January 21-26, 2015. ",
29,Ethiopia,2017,"Ethiopia, 2017",AFRO,"WHO report, 7 Jul 2016",,,,,New,"Degah-ad Kabele, Danbal Woreda, Sitti Zone (near Jijiga city)",Rural,Fragile situation,Informal alert,Alert,1,"Rumor [from community] of 31 cases in one community, unaffected by AWD. Received by WHO response team in nearby Jijiga City.",5,5,0,6,1,6,1,,,,,6/27/2017,"1_community_EWARS (exact date; rumour, Jun 27; inv Jun 28, ""before June 28, 2017"")",6/22/2017,6/27/2017,NR,,6/28/2017,6/28/2017,Rapid response team from WHO trained health workers on case management and IPC; supported scale up of surveillance and community WASH measures.,
30,Guinea,2012,"Guinea, 2012",AFRO,"Dunoyer et al, 2013",,,,,New,"Fishing village, Khounyi, Kabak Island, Forecariah",Urban,Fragile situation,Formal alert,Alert,1,"Detected using sentinel surveillance. On 5 feb, a community agent who was trained in sentinel site surveillance went to do a vaccination day in a village. Saw a dramatic increase in diarrhea and vomiting cases, and suspected a cholera outbreak. Started first aid for cases immediately.",3,3,0,4,1,,,7,2/2/2012,2/5/2012,,2/5/2012,1_CHW (exact date),2/2/2012,2/5/2012,2/10/2012,2/9/2012,2/6/2012,,CHW started case management in village immediately upon detection.,
31,Guinea-Bissau,2008,"Guinea-Bissau, 2008",AFRO,"Luquero et al, 2011","TNH report, 26 May 2008",TNH report 2,,,New,"Tombali village, Tombali region",Rural,Fragile situation,Not reported,,,"Information on detection NR. 76 suspected cases, 3 deaths (W24); 139 suspected cases, 10 deaths (W26).",5,5,0,,,20,15,,,5/5/2008,,5/5/2008,4_NR (exact date),4/30/2008,5/5/2008,7/8/2008,,,5/20/2008,"""The outbreak is being effecively contained by the MoH supported by WHO""",
32,Haiti,2010,"Haiti, 2010",PAHO,"MMWR, 2010","Ivers and Walton, 2012",,,,New,"Mirebalais, Artibonite Department",Urban,Natural disaster,Formal data analysis,Data analysis,0,MSPP notified of unusually high (peaks) of a AWD+dehydration and some deaths from Centre and Artibonite departments. ~410 (W20) and 16111 suspected cases and 992 deaths (W45).,5,7,2,9,4,9,4,9,10/12/2010,10/17/2010,,10/19/2010,3_PHO (exact date),10/12/2010,10/17/2010,10/21/2010,10/21/2010,10/21/2010,10/21/2010,Investigation and response,
33,Iraq,2008,"Iraq, 2008",EMRO,"WHO DON, 26 Sept 2008","MOH sitrep, 24-August 2008",Promed (UPI),"EMRO WEM (1, 36, 7 Sept 2008)",,New,"Al-Auzeir town (60 km south of Amara), Maysan Governorate",Rural,Armed conflict,Formal data analysis,Data analysis,0,"A 3-year-old child died of cholera in the Maysan province in southern Iraq [news item]. Baghdad cases seems to be sporadic cholera cases discovered through the routine surveillance system in patients presenting with diarrhea without dehydration. Strange enough all the local laboratories in Baghdad-Kerkh, Baghdad- Resafa and Missan failed to isolate VC in all specimens tested. (the same situation was noticed in Sulymania out break last year). The delay in laboratory confirmation and notification to the DoH and central authority; delayed the out break response activities. By aug 28 (181 suspected cases) and by sept 16 (295 suspcted cases).",5,12,7,,,31,26,12,,8/13/2008,8/20/2008,8/20/2008,3_Lab (exact date; cluster of confirmed cases),8/8/2008,8/13/2008,8/20/2008,8/20/2008,,9/8/2008,"Local authorities declared a state of emergency on Monday [8 Sep 2008] after cholera killed 8 people in Babil province, south of Baghdad, in 3 days, with another 500 suspected to have contracted the disease. "" [Promed]",
34,Iraq,2015,"Iraq, 2015",EMRO,"CTF Sitrep 1, 13 Sept 2015",,,,,New,"Najaf City, Baghdad Governorate; affected entire country except Anbar district (17/18 governorates)",Urban,Armed conflict,Formal data analysis,Data analysis,0,"CDC Directorate Baghdad was informed by Najaf Department of Health of  a suspected cholera ase from Najaf Hospital. Just before this, routine analysis of diarrheal cases from Al-Qadisihhay Gov showed a increase in diarrheal cases in W37 (12 confirmed cases); by Nov 22 (W47), 2810 cases.",9,9,0,14,5,15,6,14,8/30/2015,9/8/2015,,9/8/2015,3_HF (exact date),8/30/2015,9/8/2015,9/15/2015,9/13/2015,9/13/2015,9/14/2015,Field visit to PHCC and patient-village,
35,Kenya,2009,"Kenya, 2009",AFRO,"Mahamud et al, 2011",,,,,New,"Kakuma camp, Turkana District",Camp,Refugee setting,Formal data analysis,Data analysis,0,"Incidence of AWD among camp residents increased sharply in Sept 2009, at same time of first clinical encounters with suspect cases. The context was a larger outbreak in Turkana District (since Aug 2009). Large-scale response started in October 2009 (so we estimate Oct 15).",5,5,0,,,18,13,19,,9/18/2009,,9/18/2009,3_HF (exact date),9/13/2009,9/18/2009,NR,10/2/2009,,10/1/2009,"CTC, CTF, water supply, active case finding, health education, POUWT latrine construction, ACP to close contacts.",
36,Kenya,2019,"Kenya, 2019",AFRO,"Abdhullai et al, 2019",,,,,New,"Hagadera camp, Garissa County",Camp,Refugee setting,Formal alert,Alert,1,Intimates that the time lag between the index case and notification was due to surveillance challenges. But first case admitted Mar 27 and two more cases Mar 29. Latter two cases were admitted to CTC (Mar 29 is response date).,5,5,0,,,7,2,,,3/27/2019,,3/27/2019,1_HF (exact date),3/22/2019,3/27/2019,3/27/2019,,,3/29/2019,Cases admitted to CTC.,
37,Liberia,2008,"Liberia, 2008",AFRO,"UNMIL report 131, 23 Dec 2007","Liberian Times, 10 Jan 2008",,,,New,"J.J. Dossen Hospital in Harper, Maryland County; affected southeast (Maryland and Grand Kru) ",Urban,Fragile situation,Not reported,,,Suspected outbreak of AWD detected between 5 Dec 2007 and 11 Jan 2008; confirmed by at least 11 Jan. Response by at least 11 Jan but difficult to say exactly when. Sudden increase in cases.,5,7,2,,,23,18,,,12/3/2007,,12/5/2007,4_NR (exact date),11/28/2007,12/3/2007,NR,,,12/21/2007,"On 17 December, the Maryland County Health Team (CHT), Merlin, ICRC and Solidarités attended an AWD Response Meeting. An isolation ward was opened in J.J. Dossen hospital on 21 December 2007. A comprehensive response is in place and it includes case management, improvement of water and sanitation facilities, hygiene promotion and awareness/sensitization.",
38,Liberia,2017,"Liberia, 2017",AFRO,"UNICEF CP (W16, 2017)","Liberia IDSR Epi Bulletin (W13, 2017)",,,,New,"Tapitta district, Nimba County",Urban,Fragile situation,Informal alert,Alert,1,16y female who died en-route to health facility (mar 25); cumulative cases 6 (apr 6). Cholera reported as event in Epi Bulletin.,2,5,3,7,5,7,5,,,3/25/2017,,3/25/2017,1_HR (exact date),3/20/2017,3/22/2017,NR,,3/27/2017,3/27/2017,NR,
39,Mali,2012,"Mali, 2012",AFRO,"ICRC press release, 5 July 2012",,,,,New,Wabaria District near Gao,Rural,Armed conflict,Not reported,,,Sudden appearance of 32 suspected cases,5,5,0,7,2,7,2,,,,,7/2/2012,4_NR (exact date),6/27/2012,7/2/2012,NR,,7/4/2012,7/4/2012,ICRC implemented CTC; Red Cross volunteers in community; ,
40,Mozambique,2019,"Mozambique, 2019",AFRO,"Chen & Azman, 2019","Kahn et al, 2019","WHO Idai SitRep 1, 6 Apr 2019",,,New,"(Cyclone Idai) Beira city to districts of Nhamatanda, Dondo, Buzi, Sofola Province",Urban,Natural disaster,Formal alert,Alert,1,"Rapid detection of an outbreak following Cyclone Idai, and rapid growth, followed by rapid response involving OCV (immediate notification).",5,5,0,,,12,7,,,3/27/2019,,3/27/2019,1_NR_EWARS (exact date),3/22/2019,3/27/2019,NR,,,4/3/2019,"Ministry and partners kicked off a 6-day campaign, targeting 885,000 people in Beria (Apr 3)",
41,Mozambique,2019,"Mozambique, 2019",AFRO,Cambaza et al 2019,,,,,New,(Cyclone Kenneth) Pemba city and Mecufi district,Urban,Natural disaster,Formal alert,Alert,1,"Related to Cyclone Kenneth. Authorities were expecting the outbreak, according to the Provincial Director, because of the prior experience with Cyclone Idai. The first case of cholera associated with Cyclone Kenneth was observed on 27 April but the Provincial Health Director declared an outbreak on 1 May 2019 after 11 cases were reported in Pemba city and 3 in the Mecúfi district [5,6]. Response was rapid; 4 days after detecting the first case (immediate notification).",5,5,0,,,9,4,,,4/27/2019,,4/27/2019,1_NR_EWARS (exact date),4/22/2019,4/27/2019,5/1/2019,,,5/1/2019,1 May 2019: social mobilization campaigns; 4 May instructing in schools and hospitals how to disinfect wells. 16 May: OCV. CTC implemented on 2 May.,
42,Nepal,2011,"Nepal, 2011",SEARO,"Yadav et al, 2012",,,,,New,Tilathi VDC,Urban,Fragile situation,Formal alert,Alert,1,"On Oct 31, 2011, there was a report of a cluster of diarrheal disease cases in Tilathi VBC by the DPHO. Presumed to have outbreak control team investigate asap (next day). DOS of first case was Oct 26, and died on Oct 31. Unclear if sought care. They put response in place asap with investigation.",5,5,0,6,1,6,1,,10/26/2011,,,10/31/2011,1_PHO (exact date),10/26/2011,10/31/2011,NR,,11/1/2011,11/1/2011,RRT,
43,Nepal,2016,"Nepal, 2016",SEARO,"Sekine and Roskosky, 2019","Roskosky et al, 2019",,,,New,Kathmandu Valley,Urban,Natural disaster,Formal alert,Alert,1,"Sentinel site surveillance of AWD using RDT. A total of 2,207 cases of AWD were reported from the sentinel sites to the EDCD between June and November 2016 (Table 2, Figure 3). Of those AWD cases, 239 were classified as suspected cholera on the basis of clinical symptoms, namely dehydration status and the presence of rice-water stool.",5,5,0,,,9,4,5,,6/30/2016,,6/30/2016,"1_Laboratory_EWARS (exact date; local lab, so quick)",6/25/2016,6/30/2016,NR,6/30/2016,,7/4/2016,RRT,
